"lat","lon","location_type","formatted","Actual_Address"
42.1024439,-71.0291876,"premise","108 Oak St, Brockton, MA 02301, USA","108 OAK ST, BROCKTON, MA"
42.093099,-71.0543629,"premise","200 Westgate Dr, Brockton, MA 02301, USA","200 WESTGATE DR, BROCKTON, MA"
42.0660387,-71.0249428,"street_address","105 Hillberg Ave, Brockton, MA 02301, USA","105 HILLBERG AVE, BROCKTON, MA"
42.0978285,-71.0615518,"street_address","235 N Pearl St, Brockton, MA 02301, USA","235 N PEARL ST, BROCKTON, MA"
42.0583261,-71.0449436,"premise","20 Woodvale St, Brockton, MA 02301, USA","20 WOODVALE ST, BROCKTON, MA"
42.0838297,-71.0230145,"intersection","MA-123 & Legion Pkwy, Brockton, MA 02301, USA","99 LEGION PKWY, BROCKTON, MA @ 60 WARREN AVE, BROCKTON, MA"
42.0596285,-71.0221431,"street_address","167 Keith Avenue Extension, Brockton, MA 02301, USA","167 KEITH AVE EXT, BROCKTON, MA"
42.0561908,-71.0709197,"premise","1350 Belmont St, Brockton, MA 02301, USA","1350 BELMONT ST, BROCKTON, MA"
42.0825211,-71.0234585,"premise","175 Warren Ave, Brockton, MA 02301, USA","175 WARREN AVE, BROCKTON, MA"
42.075392,-71.0441362,"street_address","21 Torrey St, Brockton, MA 02301, USA","21 TORREY ST, BROCKTON, MA"
42.0768976,-71.0318235,"intersection","Manomet St & Leavitt St, Brockton, MA 02301, USA","30 MANOMET ST, BROCKTON, MA @ 82 LEAVITT ST, BROCKTON, MA"
42.0832229,-71.0229699,"intersection","MA-123 & Frederick Douglass Ave, Brockton, MA 02301, USA","105 WARREN AVE, BROCKTON, MA @ 99 FREDERICK DOUGLAS AVE, BROCKTON, MA"
42.0559116,-71.0403166,"intersection","W Chestnut St & Talbot St, Brockton, MA 02301, USA","619 W CHESTNUT ST, BROCKTON, MA @ 67 TALBOT ST, BROCKTON, MA"
42.0696947,-71.0470684,"route","Belmont St, Brockton, MA 02301, USA","BELMONT ST, BROCKTON, MA"
42.0889811,-70.9767923,"intersection","Centre St & Sumpter St, Brockton, MA 02302, USA","1000 CENTRE ST, BROCKTON, MA @ 98 SUMPTER ST, BROCKTON, MA"
42.0830975,-71.0376513,"street_address","123 Moraine St, Brockton, MA 02301, USA","123 MORAINE ST, BROCKTON, MA"
42.0682858,-71.0080104,"street_address","91 N Leyden St, Brockton, MA 02302, USA","91 N LEYDEN ST, BROCKTON, MA"
42.0874254,-70.991421,"street_address","680 Centre St, Brockton, MA 02302, USA","680 CENTRE ST, BROCKTON, MA"
42.0813335,-71.0201781,"intersection","Crescent St & Main St, Brockton, MA 02301, USA","206 MAIN ST, BROCKTON, MA @ 1 CRESCENT ST, BROCKTON, MA"
42.074443,-71.0215786,"route","Warren Ave, Brockton, MA 02301, USA","WARREN AVE, BROCKTON, MA"
42.0890556,-71.0193011,"intersection","Wyman St & Charles St, Brockton, MA 02301, USA","179 N MAIN ST, BROCKTON, MA @ 37 CHARLES ST, BROCKTON, MA"
42.0763819,-71.0186328,"premise","16 Somerset Pl, Brockton, MA 02301, USA","16 SOMERSET PL, BROCKTON, MA"
42.0967704,-71.0093754,"premise","245 E Ashland St, Brockton, MA 02302, USA","245 E ASHLAND ST, BROCKTON, MA"
42.0702537,-71.0210336,"premise","761 Warren Ave, Brockton, MA 02301, USA","761 WARREN AVE, BROCKTON, MA"
42.0764872,-71.0234908,"premise","81 Winthrop St, Brockton, MA 02301, USA","81 WINTHROP ST, BROCKTON, MA"
42.0644976,-71.0572184,"premise","985 Belmont St, Brockton, MA 02301, USA","985 BELMONT ST, BROCKTON, MA"
42.0781085,-71.0241512,"intersection","Father Kenney Way & Chester Ave, Brockton, MA 02301, USA","73 BARTLETT ST, BROCKTON, MA @ 56 CHESTER AVE, BROCKTON, MA"
42.0843056,-71.0052001,"premise","85 Cary St, Brockton, MA 02302, USA","85 CARY ST, BROCKTON, MA"
42.0877865,-71.0413251,"street_address","21 Malvern Rd, Brockton, MA 02301, USA","21 MALVERN RD, BROCKTON, MA"
42.094554,-71.0220167,"premise","57 Ford St, Brockton, MA 02301, USA","57 FORD ST, BROCKTON, MA"
42.1023273,-71.0595561,"street_address","469 Pine Grove Dr, Brockton, MA 02301, USA","469 PINE GROVE DR, BROCKTON, MA"
42.0696433,-71.0195762,"premise","37 Sheppard St, Brockton, MA 02301, USA","37 SHEPPARD ST, BROCKTON, MA"
42.0943307,-71.0391598,"premise","115 Colonel Bell Dr, Brockton, MA 02301, USA","115 COLONEL BELL DR, BROCKTON, MA"
42.0593747,-71.0136313,"premise","1330 Main St, Brockton, MA 02301, USA","1330 MAIN ST, BROCKTON, MA"
42.0921575,-71.0112805,"route","Teele St, Brockton, MA 02302, USA","TEELE ST, BROCKTON, MA"
42.1028849,-71.0137715,"premise","57 Arthur St, Brockton, MA 02302, USA","57 ARTHUR ST, BROCKTON, MA"
42.0908464,-71.0190885,"premise","261 N Main St, Brockton, MA 02301, USA","261 N MAIN ST, BROCKTON, MA"
42.0882804,-71.0193207,"street_address","133 N Main St, Brockton, MA 02301, USA","133 N MAIN ST, BROCKTON, MA"
42.0800057,-71.0059759,"street_address","365 Crescent St, Brockton, MA 02302, USA","365 CRESCENT ST, BROCKTON, MA"
42.0862632,-71.0250616,"intersection","Pleasant St & Spring St, Brockton, MA 02301, USA","38 PLEASANT ST, BROCKTON, MA @ 0 SPRING ST, BROCKTON, MA"
42.0767664,-71.0436391,"intersection","West St & Neubert St, Brockton, MA 02301, USA","WEST ST, BROCKTON, MA @ NEUBERT ST, BROCKTON, MA"
42.0497854,-70.9933846,"street_address","53 Fairbanks Rd, Brockton, MA 02302, USA","53 FAIRBANKS RD, BROCKTON, MA"
42.0856275,-71.0221635,"intersection","Pleasant St & Pleasant Pl, Brockton, MA 02301, USA","78 PLEASANT ST, BROCKTON, MA @ 23 PLEASANT PL, BROCKTON, MA"
42.0923103,-71.0531285,"premise","532 Westgate Dr, Brockton, MA 02301, USA","532 WESTGATE DR, BROCKTON, MA"
